year,dependence,scenario_family,lever,weak_alignment_probability,low_uptake_shortfall,renewable_shortfall,fossil_excess,emissions_excess,activity_excess
2030,gaussian,stress_tail,fossil_reduction,0.0,0.31170414911860117,0.4567010772153699,0.34938927957045024,0.2430476046204576,0.47314751360067236
2030,gaussian,stress_tail,balanced_package,0.0,0.1347763716171834,0.2317638371903497,0.4365143292801067,0.2430476046204576,0.47314751360067236
2030,gaussian,stress_tail,delay_case,0.0,0.32350064475542684,0.47675128519535376,0.6111643358079443,0.3905566062694031,0.47314751360067236
2026,student_t,central,none,0.21045,0.08443333959836287,0.1682131211195687,0.16464966319019705,0.13965275719166997,0.17460981050100086
2026,student_t,central,uptake_push,0.35115,0.012417074502894858,0.1682131211195687,0.11006633941123027,0.13965275719166997,0.17460981050100086
2026,student_t,central,renewable_push,0.13165,0.08443333959836287,0.04501674326653883,0.16464966319019705,0.09284767599985577,0.17460981050100086
2026,student_t,central,fossil_reduction,0.21045,0.08443333959836287,0.1682131211195687,0.06740711102053765,0.08188771896733862,0.17460981050100086
2026,student_t,central,balanced_package,0.22505,0.026978265926685015,0.0768062174431232,0.0999616825798106,0.08188771896733862,0.17460981050100086
2026,student_t,central,delay_case,0.2222,0.10263354852035589,0.19676594947886364,0.2176021983110806,0.15195433089678162,0.17460981050100086
2027,student_t,central,none,0.207,0.08310717350677699,0.1637588633327717,0.16665790775138584,0.13863332534446599,0.17151030261567743
2027,student_t,central,uptake_push,0.34595,0.012273175739992212,0.1637588633327717,0.11174014467820584,0.13863332534446599,0.17151030261567743
2027,student_t,central,renewable_push,0.124,0.08310717350677699,0.04361658353808358,0.16665790775138584,0.0919116101303716,0.17151030261567743
2027,student_t,central,fossil_reduction,0.207,0.08310717350677699,0.1637588633327717,0.06872021554319993,0.08099867520794647,0.17151030261567743
2027,student_t,central,balanced_package,0.2195,0.0264642909787716,0.07427656852428295,0.10150551157110176,0.08099867520794647,0.17151030261567743
2027,student_t,central,delay_case,0.2238,0.10123937905080063,0.1931032524581057,0.2194854791874489,0.1510816715498432,0.17151030261567743
2028,student_t,central,none,0.2172,0.08131000690352784,0.16907688607834145,0.16480835413688488,0.1379694058770605,0.1715567743050592
2028,student_t,central,uptake_push,0.35755,0.011706410313815103,0.16907688607834145,0.11016056652959108,0.1379694058770605,0.1715567743050592
2028,student_t,central,renewable_push,0.1335,0.08131000690352784,0.045172011463965794,0.16480835413688488,0.09151684005386015,0.1715567743050592
2028,student_t,central,fossil_reduction,0.2172,0.08131000690352784,0.16907688607834145,0.06745640396617919,0.08064790330605917,0.1715567743050592
2028,student_t,central,balanced_package,0.22805,0.025596818661350475,0.07697998096144053,0.09996964560687623,0.08064790330605917,0.1715567743050592
2028,student_t,central,delay_case,0.23035,0.09970318306095322,0.19835593425069908,0.2179744207170117,0.15030836057722488,0.1715567743050592
2029,student_t,central,none,0.2085,0.08464960397750156,0.16773014509446638,0.16597197599450314,0.13919444998183508,0.1705900253530605
2029,student_t,central,uptake_push,0.355,0.01262757492428776,0.16773014509446638,0.1111130161504253,0.13919444998183508,0.1705900253530605
2029,student_t,central,renewable_push,0.1282,0.08464960397750156,0.04441378095104153,0.16597197599450314,0.09216422136850182,0.1705900253530605
2029,student_t,central,fossil_reduction,0.2085,0.08464960397750156,0.16773014509446638,0.06828331452685499,0.08118556402031754,0.1705900253530605
2029,student_t,central,balanced_package,0.22475,0.027255275128310597,0.07603563172785163,0.10093660569275655,0.08118556402031754,0.1705900253530605
2029,student_t,central,delay_case,0.2222,0.10281396584188968,0.1971302798698173,0.21906465291626645,0.1517742625029157,0.1705900253530605
2030,student_t,central,none,0.20515,0.08391759453153048,0.16644231783683314,0.1669152337423364,0.14015373398548278,0.17422537598395654
2030,student_t,central,uptake_push,0.35045,0.01245918068509066,0.16644231783683314,0.11182461883974044,0.14015373398548278,0.17422537598395654
2030,student_t,central,renewable_push,0.12695,0.08391759453153048,0.04446366538808744,0.1669152337423364,0.09304383558569054,0.17422537598395654
